# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = code_5_model
# start_datetime = 2022-04-17 18:29:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 6000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = E:\AGH\2022-1\2_Data_Analytics\lab2\samples\code_5-20220417202914_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.738527
# Diagonal elements of inverse mass matrix:
# 1.46637
-1.80647,1,0.738527,1,1,0,2.38101,1.68658
-1.81551,0.997382,0.738527,1,1,0,1.82326,1.71979
-1.798,1,0.738527,1,1,0,1.8147,1.652
-1.8669,0.952168,0.738527,2,3,0,2.06762,1.09252
-2.53942,0.928649,0.738527,2,7,0,2.86274,0.708544
-2.54878,0.999612,0.738527,1,1,0,2.61063,0.706161
-1.79002,1,0.738527,2,7,0,2.44313,1.26636
-1.8856,0.985881,0.738527,1,3,0,1.89664,1.06611
-3.08345,0.962875,0.738527,3,7,0,3.08348,0.611207
-3.04953,1,0.738527,1,1,0,3.14878,0.615456
-2.96075,1,0.738527,1,1,0,3.09043,0.627467
-3.18237,0.974816,0.738527,2,7,0,3.20563,3.75453
-2.77207,1,0.738527,1,1,0,3.47609,3.26953
-1.80465,1,0.738527,1,1,0,2.39662,1.67946
-3.96156,0.349272,0.738527,1,1,0,4.02384,4.60427
-2.16328,0.847843,0.738527,2,3,0,3.5644,0.844631
-2.05814,1,0.738527,1,1,0,2.16131,0.906294
-2.17341,0.990537,0.738527,1,1,0,2.17859,0.839492
-2.34041,0.995431,0.738527,2,7,0,2.42443,2.7031
-2.3765,0.963548,0.738527,2,7,0,2.63607,0.756338
-2.27504,1,0.738527,1,1,0,2.3886,0.793716
-2.91796,0.845192,0.738527,1,3,0,3.03488,0.633755
-4.30099,0.6579,0.738527,1,3,0,5.02625,0.530835
-4.27579,1,0.738527,1,1,0,4.3839,0.531641
-1.77191,0.433065,0.738527,3,7,0,4.40131,1.47513
-1.90265,0.960305,0.738527,2,3,0,2.01017,1.04447
