# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = code_5_model
# start_datetime = 2022-04-17 18:29:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 6000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = E:\AGH\2022-1\2_Data_Analytics\lab2\samples\code_5-20220417202914_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.601187
# Diagonal elements of inverse mass matrix:
# 1.63365
-2.31676,0.369222,0.601187,1,1,0,3.39458,2.6693
-2.35507,0.173559,0.601187,2,3,0,5.36107,0.763664
-1.7892,1,0.601187,1,3,0,2.86512,1.26963
-2.41875,0.961316,0.601187,2,3,0,2.72636,2.81247
-2.70304,0.879092,0.601187,1,1,0,2.90144,3.18385
-1.89679,1,0.601187,1,1,0,2.44196,1.94491
-3.17219,0.827075,0.601187,3,7,0,3.28607,0.600888
-1.99583,0.877796,0.601187,1,3,0,4.3405,0.952441
-1.82884,1,0.601187,2,3,0,1.99352,1.1591
-1.81846,0.991724,0.601187,2,3,0,1.94924,1.1819
-2.43711,0.920359,0.601187,1,3,0,3.01375,0.737037
-1.83784,0.990383,0.601187,1,3,0,2.85379,1.1413
-1.82372,0.982711,0.601187,1,3,0,2.08269,1.74761
-2.94169,0.850944,0.601187,3,7,0,3.05695,3.4745
-2.85527,1,0.601187,1,1,0,3.315,3.37097
-1.90837,1,0.601187,1,1,0,2.53628,1.97144
-2.28276,0.892128,0.601187,1,1,0,2.28604,2.61995
-2.28276,0.440234,0.601187,1,1,0,3.23887,2.61995
-2.28388,0.97798,0.601187,3,7,0,2.49634,2.62159
-1.77083,0.99401,0.601187,2,3,0,2.40854,1.4136
-2.4107,0.877281,0.601187,1,3,0,3.40995,0.745203
-2.4593,0.995541,0.601187,3,7,0,2.4832,0.730453
-2.29396,1,0.601187,1,1,0,2.45281,0.786195
-2.84749,0.992765,0.601187,3,7,0,2.87275,0.644902
-2.39973,1,0.601187,2,3,0,2.88358,0.748702
-3.23418,0.978131,0.601187,3,7,0,3.88288,0.594306
-3.04848,1,0.601187,1,1,0,3.23549,0.61559
-2.91356,1,0.601187,1,1,0,3.05743,0.634422
-1.90639,0.998143,0.601187,3,7,0,3.26576,1.03999
-2.08881,0.992516,0.601187,3,7,0,2.10546,0.886534
-2.00092,0.990084,0.601187,2,3,0,2.367,0.948313
-2.01269,0.999145,0.601187,1,1,0,2.03094,0.939039
-1.80428,0.987735,0.601187,1,3,0,2.07581,1.21858
-1.80132,0.989225,0.601187,1,3,0,1.93727,1.66604
-1.85242,0.958356,0.601187,1,3,0,2.0905,1.11542
-1.82637,1,0.601187,2,3,0,1.85045,1.16428
-1.95113,0.991033,0.601187,2,3,0,1.97031,0.992153
-1.93134,1,0.601187,1,1,0,1.9598,1.01212
-1.91512,0.992986,0.601187,3,7,0,2.12023,1.02985
-2.06406,0.976755,0.601187,2,3,0,2.28733,0.90235
-1.79181,1,0.601187,2,3,0,2.03308,1.25944
